phase,operation,iteration,status,success,duration_ms
fase0,login,1,200,True,14.805
fase0,autorizar_reproduccion,1,200,True,7.425
fase0,login,2,200,True,5.457
fase0,autorizar_reproduccion,2,200,True,28.737
fase0,login,3,200,True,15.162
fase0,autorizar_reproduccion,3,200,True,15.626
fase0,login,4,200,True,14.589
fase0,autorizar_reproduccion,4,200,True,15.21
fase0,login,5,200,True,16.016
fase0,autorizar_reproduccion,5,200,True,15.279
fase0,login,6,200,True,14.346
fase0,autorizar_reproduccion,6,200,True,16.96
fase0,login,7,200,True,6.294
fase0,autorizar_reproduccion,7,200,True,4.979
fase0,login,8,200,True,17.334
fase0,autorizar_reproduccion,8,200,True,15.792
fase0,login,9,200,True,15.457
fase0,autorizar_reproduccion,9,200,True,16.281
fase0,login,10,200,True,14.383
fase0,autorizar_reproduccion,10,200,True,14.912
fase0,login,11,200,True,16.05
fase0,autorizar_reproduccion,11,200,True,5.258
fase0,login,12,200,True,26.24
fase0,autorizar_reproduccion,12,200,True,16.108
fase0,login,13,200,True,15.962
fase0,autorizar_reproduccion,13,200,True,16.275
fase0,login,14,200,True,15.038
fase0,autorizar_reproduccion,14,200,True,15.539
fase0,login,15,200,True,5.574
fase0,autorizar_reproduccion,15,200,True,24.653
fase0,login,16,200,True,16.154
fase0,autorizar_reproduccion,16,200,True,15.677
fase0,login,17,200,True,15.674
fase0,autorizar_reproduccion,17,200,True,14.966
fase0,login,18,200,True,16.291
fase0,autorizar_reproduccion,18,200,True,15.651
fase0,login,19,200,True,5.144
fase0,autorizar_reproduccion,19,200,True,23.158
fase0,login,20,200,True,15.037
fase0,autorizar_reproduccion,20,200,True,14.899
fase1,login,1,200,True,35.479
fase1,autorizar_reproduccion,1,201,True,23.106
fase1,manifest,1,200,True,216.522
fase1,heartbeat,1,200,True,28.598
fase1,detener_sesion,1,200,True,6.031
fase1,login,2,200,True,25.744
fase1,autorizar_reproduccion,2,201,True,15.651
fase1,manifest,2,200,True,45.411
fase1,heartbeat,2,200,True,15.192
fase1,detener_sesion,2,200,True,5.031
fase1,login,3,200,True,25.272
fase1,autorizar_reproduccion,3,201,True,15.021
fase1,manifest,3,200,True,41.659
fase1,heartbeat,3,200,True,11.568
fase1,detener_sesion,3,200,True,5.912
fase1,login,4,200,True,6.951
fase1,autorizar_reproduccion,4,201,True,6.327
fase1,manifest,4,200,True,38.637
fase1,heartbeat,4,200,True,5.548
fase1,detener_sesion,4,200,True,4.992
fase1,login,5,200,True,5.489
fase1,autorizar_reproduccion,5,201,True,25.038
fase1,manifest,5,200,True,41.58
fase1,heartbeat,5,200,True,19.849
fase1,detener_sesion,5,200,True,15.281
fase1,login,6,200,True,5.61
fase1,autorizar_reproduccion,6,201,True,6.015
fase1,manifest,6,200,True,44.863
fase1,heartbeat,6,200,True,20.117
fase1,detener_sesion,6,200,True,17.151
fase1,login,7,200,True,6.813
fase1,autorizar_reproduccion,7,201,True,6.249
fase1,manifest,7,200,True,43.468
fase1,heartbeat,7,200,True,4.75
fase1,detener_sesion,7,200,True,16.004
fase1,login,8,200,True,15.967
fase1,autorizar_reproduccion,8,201,True,15.169
fase1,manifest,8,200,True,29.631
fase1,heartbeat,8,200,True,14.452
fase1,detener_sesion,8,200,True,15.852
fase1,login,9,200,True,15.964
fase1,autorizar_reproduccion,9,201,True,15.694
fase1,manifest,9,200,True,43.435
fase1,heartbeat,9,200,True,18.676
fase1,detener_sesion,9,200,True,15.0
fase1,login,10,200,True,15.902
fase1,autorizar_reproduccion,10,201,True,5.613
fase1,manifest,10,200,True,69.683
fase1,heartbeat,10,200,True,4.629
fase1,detener_sesion,10,200,True,28.227
fase1,login,11,200,True,14.916
fase1,autorizar_reproduccion,11,201,True,16.662
fase1,manifest,11,200,True,50.993
fase1,heartbeat,11,200,True,5.376
fase1,detener_sesion,11,200,True,4.469
fase1,login,12,200,True,15.094
fase1,autorizar_reproduccion,12,201,True,15.122
fase1,manifest,12,200,True,53.876
fase1,heartbeat,12,200,True,4.484
fase1,detener_sesion,12,200,True,18.405
fase1,login,13,200,True,15.896
fase1,autorizar_reproduccion,13,201,True,4.946
fase1,manifest,13,200,True,71.875
fase1,heartbeat,13,200,True,4.962
fase1,detener_sesion,13,200,True,27.093
fase1,login,14,200,True,15.593
fase1,autorizar_reproduccion,14,201,True,14.959
fase1,manifest,14,200,True,29.843
fase1,heartbeat,14,200,True,15.521
fase1,detener_sesion,14,200,True,15.987
fase1,login,15,200,True,15.385
fase1,autorizar_reproduccion,15,201,True,4.919
fase1,manifest,15,200,True,33.361
fase1,heartbeat,15,200,True,5.033
fase1,detener_sesion,15,200,True,19.289
fase1,login,16,200,True,5.69
fase1,autorizar_reproduccion,16,201,True,24.295
fase1,manifest,16,200,True,46.06
fase1,heartbeat,16,200,True,14.819
fase1,detener_sesion,16,200,True,4.99
fase1,login,17,200,True,5.349
fase1,autorizar_reproduccion,17,201,True,21.034
fase1,manifest,17,200,True,50.493
fase1,heartbeat,17,200,True,4.666
fase1,detener_sesion,17,200,True,22.724
fase1,login,18,200,True,15.347
fase1,autorizar_reproduccion,18,201,True,5.713
fase1,manifest,18,200,True,50.934
fase1,heartbeat,18,200,True,5.092
fase1,detener_sesion,18,200,True,16.062
fase1,login,19,200,True,15.638
fase1,autorizar_reproduccion,19,201,True,15.362
fase1,manifest,19,200,True,30.549
fase1,heartbeat,19,200,True,15.794
fase1,detener_sesion,19,200,True,15.427
fase1,login,20,200,True,15.745
fase1,autorizar_reproduccion,20,201,True,5.265
fase1,manifest,20,200,True,30.797
fase1,heartbeat,20,200,True,7.126
fase1,detener_sesion,20,200,True,5.23
fase2,login,1,200,True,11.077
fase2,autorizar_reproduccion,1,201,True,8.741
fase2,manifest,1,200,True,149.182
fase2,heartbeat,1,200,True,9.839
fase2,detener_sesion,1,200,True,25.63
fase2,login,2,200,True,18.781
fase2,autorizar_reproduccion,2,201,True,8.899
