phase,operation,samples,successes,mean_ms,median_ms,p95_ms,min_ms,max_ms,stddev_ms
fase0,autorizar_reproduccion,20,20,15.669,15.639,24.857,4.979,28.737,5.49
fase0,login,20,20,14.05,15.1,17.779,5.144,26.24,4.87
fase1,autorizar_reproduccion,20,20,13.108,15.072,24.332,4.919,25.038,6.804
fase1,detener_sesion,20,20,13.958,15.639,27.15,4.469,28.227,7.304
fase1,heartbeat,20,20,11.313,9.347,20.541,4.484,28.598,6.933
fase1,login,20,20,14.692,15.489,26.231,5.349,35.479,7.529
fase1,manifest,20,20,53.184,44.166,79.107,29.631,216.522,39.162
fase2,autorizar_reproduccion,20,20,18.119,11.293,31.528,8.027,31.616,10.128
fase2,detener_sesion,20,20,26.276,29.335,32.36,8.031,32.644,7.701
fase2,heartbeat,20,20,19.298,19.595,32.182,8.494,32.888,9.297
fase2,login,20,20,18.166,18.659,32.617,8.016,32.957,6.185
fase2,manifest,20,20,80.801,84.614,125.13,35.459,149.182,33.99
